time,X_d,X,Y_d,Y,Z_d,Z,Yaw_d,Yaw
26.55,0.000000,-0.001004,0.000000,0.004541,3.000000,2.002808,0.000000,0.000382
26.60,0.000000,0.004366,0.000000,-0.003866,3.000000,2.043194,0.000000,0.000567
26.65,0.000000,-0.001812,0.000000,-0.005984,3.000000,2.047949,0.000000,0.000734
26.70,0.000000,0.007782,0.000000,0.003627,3.000000,2.008919,0.000000,0.003238
26.75,0.000000,0.002032,0.000000,-0.003703,3.000000,2.035311,0.000000,0.002225
26.80,0.000000,0.006872,0.000000,0.002341,3.000000,2.028245,0.000000,0.003578
26.85,0.000000,0.000776,0.000000,-0.001510,3.000000,2.099341,0.000000,0.001201
26.90,0.000000,0.003369,0.000000,0.014417,3.000000,2.058844,0.000000,0.001446
26.95,0.000000,0.006919,0.000000,0.005216,3.000000,2.071392,0.000000,0.005158
27.00,0.000000,0.007787,0.000000,0.003394,3.000000,2.089192,0.000000,-0.000461
27.05,0.000000,0.004529,0.000000,0.000524,3.000000,2.061409,0.000000,0.001975
27.10,0.000000,0.005698,0.000000,0.005561,3.000000,2.083417,0.000000,0.000432
27.15,0.000000,0.005155,0.000000,-0.000804,3.000000,2.065884,0.000000,0.003273
27.20,0.000000,0.001257,0.000000,0.001415,3.000000,2.114803,0.000000,0.000707
27.25,0.000000,-0.001644,0.000000,-0.002145,3.000000,2.102486,0.000000,0.003420
27.30,0.000000,0.006391,0.000000,0.003150,3.000000,2.116974,0.000000,0.000981
27.35,0.000000,0.001444,0.000000,-0.003454,3.000000,2.072315,0.000000,0.002066
27.40,0.000000,0.004121,0.000000,-0.000917,3.000000,2.076919,0.000000,0.003467
27.45,0.000000,0.002261,0.000000,0.007914,3.000000,2.093629,0.000000,0.000308
27.50,0.000000,0.003970,0.000000,0.002267,3.000000,2.108615,0.000000,0.001445
27.55,0.000000,-0.001592,0.000000,-0.002396,3.000000,2.117669,0.000000,0.001435
27.60,0.000000,0.003140,0.000000,-0.003000,3.000000,2.087460,0.000000,0.002002
27.65,0.000000,0.002780,0.000000,-0.004722,3.000000,2.094499,0.000000,0.001823
27.70,0.000000,0.006130,0.000000,-0.004899,3.000000,2.138625,0.000000,0.001779
27.75,0.000000,0.001193,0.000000,0.000015,3.000000,2.096706,0.000000,0.001189
27.80,0.000000,0.007229,0.000000,0.001602,3.000000,2.152693,0.000000,0.001699
27.85,0.000000,0.006029,0.000000,-0.002078,3.000000,2.115829,0.000000,0.002715
27.90,0.000000,0.002612,0.000000,-0.000455,3.000000,2.115751,0.000000,0.001438
27.95,0.000000,-0.002687,0.000000,0.007065,3.000000,2.157095,0.000000,0.002579
28.00,0.000000,0.005703,0.000000,-0.002370,3.000000,2.131867,0.000000,0.000913
28.05,0.000000,0.002866,0.000000,-0.002257,3.000000,2.158643,0.000000,0.005786
28.10,0.000000,0.003659,0.000000,0.006026,3.000000,2.168196,0.000000,0.001853
28.15,0.000000,0.004850,0.000000,-0.004555,3.000000,2.139545,0.000000,0.001733
28.20,0.000000,0.004242,0.000000,-0.001948,3.000000,2.138637,0.000000,0.003918
28.25,0.000000,0.005288,0.000000,0.003735,3.000000,2.187086,0.000000,0.001302
28.30,0.000000,-0.001939,0.000000,0.009863,3.000000,2.165943,0.000000,0.003041
28.35,0.000000,0.000450,0.000000,0.003588,3.000000,2.197021,0.000000,0.001227
28.40,0.000000,0.002336,0.000000,-0.000115,3.000000,2.185688,0.000000,0.003041
