time,X_d,X,Y_d,Y,Z_d,Z,Yaw_d,Yaw
20.57,0.000000,0.084289,0.000000,-0.020508,2.000000,1.501045,0.000000,0.005954
20.62,0.000000,0.084807,0.000000,-0.024212,2.000000,1.506408,0.000000,0.005376
20.67,0.000000,0.084965,0.000000,-0.024784,2.000000,1.512118,0.000000,0.001533
20.73,0.000000,0.085576,0.000000,-0.021060,2.000000,1.518060,0.000000,0.002205
20.78,0.000000,0.083967,0.000000,-0.022900,2.000000,1.526673,0.000000,0.007633
20.83,0.000000,0.083967,0.000000,-0.022900,2.000000,1.526673,0.000000,0.007633
20.88,0.000000,0.083967,0.000000,-0.022900,2.000000,1.526673,0.000000,0.007633
20.93,0.000000,0.084615,0.000000,-0.023077,2.000000,1.538462,0.000000,0.000000
20.98,0.000000,0.081096,0.000000,-0.023124,2.000000,1.544676,0.000000,0.003535
21.03,0.000000,0.085269,0.000000,-0.023255,2.000000,1.550341,0.000000,0.007752
21.08,0.000000,0.085549,0.000000,-0.019491,2.000000,1.555947,0.000000,0.004362
21.13,0.000000,0.085549,0.000000,-0.019491,2.000000,1.555947,0.000000,0.004362
21.19,0.000000,0.085938,0.000000,-0.023438,2.000000,1.562500,0.000000,0.000000
21.24,0.000000,0.082368,0.000000,-0.023486,2.000000,1.568911,0.000000,0.003588
21.29,0.000000,0.084213,0.000000,-0.025435,2.000000,1.571568,0.000000,0.005578
21.34,0.000000,0.086899,0.000000,-0.019800,2.000000,1.580529,0.000000,0.004441
21.39,0.000000,0.086899,0.000000,-0.019800,2.000000,1.580529,0.000000,0.004441
21.44,0.000000,0.083433,0.000000,-0.024138,2.000000,1.587236,0.000000,0.003918
21.49,0.000000,0.083681,0.000000,-0.023859,2.000000,1.593919,0.000000,0.003643
21.54,0.000000,0.081955,0.000000,-0.021785,2.000000,1.597276,0.000000,0.001937
21.60,0.000000,0.083920,0.000000,-0.023672,2.000000,1.600033,0.000000,0.004051
21.65,0.000000,0.086703,0.000000,-0.022308,2.000000,1.608943,0.000000,0.006097
21.70,0.000000,0.084781,0.000000,-0.024533,2.000000,1.612833,0.000000,0.003979
21.75,0.000000,0.082802,0.000000,-0.022382,2.000000,1.616631,0.000000,0.005948
21.80,0.000000,0.081030,0.000000,-0.020258,2.000000,1.619990,0.000000,0.004210
21.85,0.000000,0.085284,0.000000,-0.024052,2.000000,1.626052,0.000000,0.004118
21.90,0.000000,0.085607,0.000000,-0.024456,2.000000,1.631837,0.000000,0.003747
21.95,0.000000,0.081967,0.000000,-0.024590,2.000000,1.639344,0.000000,0.000000
22.01,0.000000,0.082364,0.000000,-0.020592,2.000000,1.646671,0.000000,0.004279
22.06,0.000000,0.082364,0.000000,-0.020592,2.000000,1.646671,0.000000,0.004279
22.11,0.000000,0.082364,0.000000,-0.020592,2.000000,1.646671,0.000000,0.004279
22.16,0.000000,0.087023,0.000000,-0.024860,2.000000,1.658890,0.000000,0.003801
22.21,0.000000,0.085346,0.000000,-0.022612,2.000000,1.662530,0.000000,0.002232
22.26,0.000000,0.085346,0.000000,-0.022612,2.000000,1.662530,0.000000,0.002232
22.31,0.000000,0.081309,0.000000,-0.022882,2.000000,1.670696,0.000000,0.001997
22.36,0.000000,0.079507,0.000000,-0.025057,2.000000,1.673908,0.000000,0.003850
22.41,0.000000,0.084131,0.000000,-0.021360,2.000000,1.680603,0.000000,0.004146
22.47,0.000000,0.084327,0.000000,-0.021137,2.000000,1.687196,0.000000,0.004753
22.52,0.000000,0.086792,0.000000,-0.022988,2.000000,1.690621,0.000000,0.002274
22.57,0.000000,0.082690,0.000000,-0.023271,2.000000,1.699089,0.000000,0.002029
22.62,0.000000,0.080860,0.000000,-0.025482,2.000000,1.702404,0.000000,0.003914
22.67,0.000000,0.083057,0.000000,-0.023702,2.000000,1.705514,0.000000,0.001738
22.72,0.000000,0.083703,0.000000,-0.019497,2.000000,1.713080,0.000000,0.002480
22.77,0.000000,0.085772,0.000000,-0.021501,2.000000,1.716135,0.000000,0.004847
22.83,0.000000,0.085772,0.000000,-0.021501,2.000000,1.716135,0.000000,0.004847
22.88,0.000000,0.079900,0.000000,-0.023915,2.000000,1.728354,0.000000,0.006358
22.93,0.000000,0.082260,0.000000,-0.025922,2.000000,1.731886,0.000000,0.003979
22.98,0.000000,0.082609,0.000000,-0.021739,2.000000,1.739130,0.000000,0.000000
23.03,0.000000,0.082609,0.000000,-0.021739,2.000000,1.739130,0.000000,0.000000
23.08,0.000000,0.082609,0.000000,-0.021739,2.000000,1.739130,0.000000,0.000000
23.13,0.000000,0.084607,0.000000,-0.023789,2.000000,1.742331,0.000000,0.002301
23.18,0.000000,0.083330,0.000000,-0.021929,2.000000,1.754318,0.000000,0.008772
